Name,WD17NM_x,HPrice,medIncome,Tquantity,CrimRate,FareZone,Perof65years,drivingTime,PTransportTime,TPopulation,AreaKm2,PeoplePerkm2,Av GCSE 2013,GrnSpacem2T,Cemissions,TTprimaryS,TTsecodS,TTGP,TTHosp,TTfoodSt,pcds
Lambeth 014D,Herne Hill,530000,39840,19,83,2,7.5,27,31,1947,0.1,18830,415,3.1,109,5,10,5,5,6,SE24 0AR
Lambeth 014E,Herne Hill,876585,46940,21,75,2,13.1,29,33,1694,0.21,8117,517,52.7,103,6,11,8,9,6,SE24 0AP
Lambeth 027A,Knight's Hill,340000,37080,19,127,3,11.2,41,49,1821,0.22,8214,432,67.1,103,8,8,8,24,6,SW16 2JL
Lambeth 027B,Knight's Hill,578400,40000,21,71,3,8.6,39,46,1736,0.13,13605,538,15.5,96,7,9,10,26,6,SE27 0BG
Lambeth 028C,Knight's Hill,460000,38080,24,115,3,6.5,40,48,1854,0.21,9022,477,28.6,98,9,9,7,19,6,SE27 0PF
Lambeth 031C,Knight's Hill,532500,34320,16,72,3,15.6,42,48,1551,0.13,12359,554,21.2,98,5,8,8,22,6,SE27 0QA
Lambeth 030A,Knight's Hill,535000,41180,13,49,3,11.8,42,53,1636,0.15,11032,512,12.2,95,7,11,10,23,5,SE27 0RP
Lambeth 030B,Knight's Hill,487500,41210,30,59,3,7.1,43,51,1675,0.14,11871,500,1.3,95,10,10,11,20,6,SE27 0RR
Lambeth 030C,Knight's Hill,749950,40160,25,64,3,12.6,41,47,1807,0.22,8038,524,16.6,94,9,9,10,26,9,SE27 0SU
Lambeth 031D,Knight's Hill,402500,31790,12,83,3,8.2,43,50,1766,0.15,12129,447,25.8,97,5,5,5,25,8,SE19 3NZ
Lambeth 031E,Knight's Hill,310000,30780,11,103,3,9.6,42,47,1773,0.13,13381,449,45.8,102,5,9,9,23,5,SE27 0QL
Lambeth 010A,Larkhall,580000,37890,13,72,2,6.6,25,30,1671,0.09,17701,342,7.7,111,8,10,7,6,7,SW9 9NS
Lambeth 008A,Larkhall,567500,31950,14,101,2,4.6,24,39,1916,0.13,14449,493,58.7,113,8,10,6,11,5,SW8 4TE
Lambeth 012D,Larkhall,500000,41820,37,162,2,6.6,25,28,2225,0.14,15758,466,14.8,126,6,6,6,8,7,SW4 6LE
Lambeth 008B,Larkhall,450545,34690,14,69,2,5.8,26,36,1641,0.08,20410,513,24.2,110,9,10,6,10,7,SW4 6JX
Lambeth 008C,Larkhall,375000,31430,13,79,2,10.5,25,37,1782,0.16,11300,504,36.6,106,5,10,5,12,5,SW4 6JS
Lambeth 010B,Larkhall,324000,33190,9,115,2,10.8,25,30,2579,0.07,35088,535,5.7,120,5,7,5,10,5,SW9 9HQ
Lambeth 010C,Larkhall,565000,38920,17,43,2,10.3,25,34,1526,0.08,18770,509,10.9,111,5,10,5,7,8,SW9 9EN
Lambeth 012E,Larkhall,575000,43340,20,67,2,8.3,26,35,1705,0.15,11007,467,8.3,107,9,10,7,12,8,SW4 6JD
Lambeth 010D,Larkhall,630000,41350,17,122,2,9.4,27,36,2224,0.14,15574,417,13.6,110,6,10,5,5,8,SW9 9NY
Lambeth 006A,Oval,500000,32430,7,76,2,12.4,21,36,1748,0.1,17819,533,10.5,112,5,10,5,11,7,SW8 2HR
Lambeth 005A,Oval,570000,40040,14,59,2,10.4,21,32,1626,0.08,20249,508,1.7,108,5,5,7,10,6,SW8 1AL
Lambeth 005B,Oval,810000,37520,32,148,2,6.4,19,30,1744,0.3,5733,459,149.2,127,7,9,8,11,5,SE11 4DA
Lambeth 005C,Oval,600000,42110,25,88,2,4.6,22,30,2025,0.1,19931,347,6.8,131,6,6,7,11,6,SW9 0LB
Lambeth 003A,Oval,393000,37230,10,122,2,5.3,19,26,1541,0.12,13296,489,15.8,123,5,8,5,10,5,SE11 5SZ
Lambeth 004A,Oval,585000,41630,13,315,2,11.2,18,31,1814,0.17,10934,426,25.7,150,5,5,10,10,6,SE11 5BE
Lambeth 004C,Oval,513750,38370,22,65,2,7.9,21,36,1665,0.08,20355,489,2.3,114,5,9,6,10,6,SW8 1HG
Lambeth 003B,Prince's,512500,35550,8,54,1,12.2,18,35,1838,0.1,19186,524,21.7,110,5,10,5,17,6,SE11 5LF
Lambeth 003C,Prince's,555000,40740,17,87,2,13.7,17,27,2050,0.12,17227,571,17.2,121,6,10,7,14,7,SE11 4XA
Lambeth 003D,Prince's,610000,43660,17,75,2,10.6,18,32,1914,0.13,14780,438,10.4,127,6,10,5,12,5,SE11 5DR
Lambeth 002B,Prince's,367250,34790,8,82,2,11,18,26,1560,0.08,19476,494,17.9,120,5,11,5,14,5,SE11 4EB
Lambeth 003E,Prince's,1848000,37030,47,341,1,10.7,17,33,2615,0.27,9823,614,64.9,127,5,10,5,15,5,SE1 7ES
Lambeth 002C,Prince's,752000,41810,21,75,2,12.8,15,27,1983,0.15,13159,395,14.6,118,5,10,5,10,7,SE11 4NA
Lambeth 002D,Prince's,542500,31320,4,44,2,13.4,17,34,1608,0.07,21878,465,16.6,107,5,11,6,16,7,SE11 6QN
Lambeth 002E,Prince's,625888,33900,11,82,1,11,16,30,1628,0.15,10956,404,25.3,118,7,10,8,12,7,SE1 7AG
Lambeth 032A,St Leonard's,424750,39980,22,72,3,8.3,44,46,2215,0.16,13465,413,8,102,5,10,10,14,7,SW16 6AG
Lambeth 032B,St Leonard's,468750,40260,46,67,3,8.3,46,43,2064,0.2,10403,546,13.9,98,8,13,9,18,5,SW16 6JS
Lambeth 034A,St Leonard's,390000,39620,21,62,3,7,44,43,1753,0.11,16112,494,6.6,105,6,13,9,22,9,SW16 3PS
Lambeth 029A,St Leonard's,885000,42840,12,40,3,15.9,40,50,1756,0.28,6236,438,49.8,97,11,16,9,23,7,SW16 1AS
Lambeth 029B,St Leonard's,375000,40310,39,109,3,12.4,39,49,2115,0.17,12619,623,6.1,106,10,14,6,20,5,SW16 1LT
Lambeth 029C,St Leonard's,630000,42650,21,177,3,12.3,40,48,1924,0.21,9097,470,2.1,106,7,16,5,18,5,SW16 1UP
Lambeth 032C,St Leonard's,457500,39710,28,87,3,10.5,42,45,2229,0.17,13058,555,10.4,113,5,10,10,11,7,SW16 6LH
Lambeth 032D,St Leonard's,435000,36740,17,153,3,8.9,41,46,2363,0.15,16229,465,11.1,122,8,10,9,15,7,SW16 1QR
Lambeth 006B,Stockwell,400000,31910,4,49,2,8.3,22,33,1681,0.06,27201,534,25.8,113,5,13,5,14,5,SW8 2NU
Lambeth 004D,Stockwell,545950,38400,21,86,2,7.2,22,38,2138,0.1,20717,603,7.6,109,9,12,9,12,5,SW8 4RW
Lambeth 006C,Stockwell,687475,41470,24,119,2,8.9,22,34,1566,0.14,10830,481,15,109,5,11,5,13,5,SW95 9EA
Lambeth 006D,Stockwell,491000,34340,10,68,2,9.3,22,33,1499,0.08,18438,487,7,118,7,11,5,12,5,SW8 1JF
Lambeth 006E,Stockwell,412000,30060,2,35,2,10,22,33,1829,0.07,25089,541,13.1,113,7,11,5,14,6,SW8 1HZ
Lambeth 008D,Stockwell,412000,33220,17,93,2,6.8,22,29,1537,0.1,15700,527,14.8,120,5,10,5,14,5,SW4 6ST
Lambeth 010E,Stockwell,695000,39170,18,82,2,9.5,24,32,1706,0.13,12703,544,10.7,113,5,5,6,11,5,SW9 9PY
Lambeth 008E,Stockwell,381250,30870,12,120,2,6.8,25,31,1499,0.09,17290,522,14.9,113,5,10,5,13,5,SW4 6QW
Lambeth 004E,Stockwell,530000,38880,9,86,2,8.6,20,37,1754,0.09,20301,454,4.8,109,5,10,5,11,8,SW8 1XQ
Lambeth 026A,Streatham Hill,405000,41520,27,83,3,11.6,36,50,2005,0.15,13575,676,19.3,106,9,10,5,22,5,SW2 3TN
Lambeth 026B,Streatham Hill,478400,42230,53,108,3,9.3,36,47,1709,0.18,9339,532,11,106,10,13,8,23,5,SW2 4BT
Lambeth 024A,Streatham Hill,340500,33120,15,63,3,14.3,35,45,1645,0.14,11560,425,41.1,100,5,8,10,24,5,SW2 3EN
Lambeth 027C,Streatham Hill,450750,40530,24,110,3,7,36,41,1724,0.17,9919,603,15.6,104,8,9,8,20,5,SW2 3DR
Lambeth 027D,Streatham Hill,535000,41820,22,72,3,9.5,37,49,1696,0.16,10521,574,15,95,7,10,9,27,5,SW2 3BA
Lambeth 026C,Streatham Hill,484000,38440,13,61,3,8.1,38,49,1809,0.1,17529,533,15.3,102,8,7,7,23,5,SW16 2LL
Lambeth 022A,Streatham Hill,495000,35630,19,65,3,7.1,36,51,1756,0.12,15073,541,3.9,103,9,12,6,21,6,SW2 4BU
Lambeth 022B,Streatham Hill,380000,33280,41,89,3,8.5,35,48,1617,0.11,14348,503,9.3,116,10,10,5,17,6,SW2 4AJ
Lambeth 026D,Streatham Hill,665000,46200,35,62,3,7.5,38,47,1739,0.13,13134,605,5.2,100,12,18,10,27,7,SW2 4BW
Lambeth 035A,Streatham South,448500,36200,12,63,3,10.5,51,43,1761,0.13,13801,351,2.6,103,6,16,6,34,5,SW16 5AN
Lambeth 035B,Streatham South,490000,36740,13,25,3,11.4,49,43,1622,0.14,11720,461,4.8,91,5,20,11,37,9,SW16 5DY
Lambeth 034B,Streatham South,463750,37670,18,70,3,13.7,48,47,1819,0.16,11153,484,12.4,98,10,13,6,30,5,SW16 5DE
Lambeth 035C,Streatham South,470000,34570,13,37,3,12.9,50,43,1542,0.14,11223,575,30.6,97,5,14,10,41,5,SW16 5EJ
Lambeth 035D,Streatham South,519250,34720,6,43,3,14.2,51,46,1546,0.16,9579,523,58,93,6,16,10,40,5,SW16 5AH
Lambeth 034C,Streatham South,755000,44400,12,119,3,16.1,49,53,1601,0.51,3170,543,268,96,10,10,6,30,5,SW16 3QR
Lambeth 034D,Streatham South,482500,37370,30,91,3,11,46,41,1890,0.17,11399,643,7.2,103,5,13,6,25,8,SW16 5GA
Lambeth 035E,Streatham South,467500,35480,17,51,3,8.2,49,39,1725,0.12,14082,484,2.9,100,10,17,5,33,6,SW16 5AT
Lambeth 034E,Streatham South,495000,38190,23,56,3,12.5,47,45,2246,0.18,12689,506,8.5,95,7,13,5,28,6,SW16 5DF
Lambeth 032E,Streatham Wells,475000,40190,21,48,3,7.1,42,47,1983,0.19,10206,369,36.2,98,5,10,10,23,10,SW16 2BE
Lambeth 030D,Streatham Wells,500000,41230,27,42,3,15.8,45,51,1965,0.27,7396,508,53.9,96,9,5,7,27,6,SW16 2XH
Lambeth 032F,Streatham Wells,398000,36780,24,77,3,10,44,43,1904,0.16,11739,501,22.6,106,5,11,10,25,7,SW16 2EQ
Lambeth 026E,Streatham Wells,361250,33090,12,56,3,11.3,40,50,2046,0.13,15212,492,24.8,101,10,11,6,21,6,SW16 2NF
Lambeth 027E,Streatham Wells,480000,40520,34,87,3,11.5,40,46,2066,0.22,9382,562,30.8,101,7,7,8,27,5,SW16 2LN
Lambeth 029D,Streatham Wells,425000,39940,39,114,3,7.5,37,45,2274,0.12,18609,582,13.6,115,10,14,5,18,5,SW16 1DZ
Lambeth 030E,Streatham Wells,420000,35570,27,67,3,11.5,42,53,1786,0.19,9541,486,49.4,103,5,8,7,25,5,SW16 2RE
Lambeth 029E,Streatham Wells,547500,40670,22,87,3,11.6,42,45,1987,0.17,12042,608,2.6,100,8,16,6,20,7,SW16 2BP
Lambeth 023B,Thornton,625000,44050,19,57,3,9.6,35,45,1635,0.12,13998,528,8.5,98,5,6,9,25,9,SW12 0EB
Lambeth 023C,Thornton,957500,49740,25,74,3,8.7,36,41,1685,0.17,10048,560,9.7,100,5,7,10,21,6,SW12 0HA
Lambeth 023D,Thornton,678767,49680,38,64,3,8.3,36,44,1819,0.12,14658,483,8.8,103,5,10,10,27,6,SW12 0EJ
Lambeth 022C,Thornton,580000,34550,10,68,3,5.9,34,48,1377,0.14,9510,530,33.5,106,5,11,10,22,5,SW2 4LY
Lambeth 022D,Thornton,402500,32170,10,58,3,6.3,34,46,1670,0.1,16535,392,49.4,111,6,11,10,20,5,SW4 8EY
Lambeth 023E,Thornton,1010000,45250,15,75,3,9.2,32,38,1177,0.12,9899,433,8.7,104,6,6,5,14,8,SW12 0BW
Lambeth 022E,Thornton,335000,30590,10,44,3,8.9,37,49,2046,0.11,18719,449,29.9,116,5,10,6,23,5,SW2 4LE
Lambeth 023F,Thornton,459000,43460,17,47,3,12.4,35,49,1641,0.2,8197,471,19.5,105,5,9,10,24,7,SW12 0BG
Lambeth 025A,Thurlow Park,442500,39230,24,89,3,8.2,36,38,2134,0.18,11758,433,7.9,115,9,8,6,11,7,SE21 8JP
Lambeth 025B,Thurlow Park,440000,42440,21,74,3,15.9,39,45,1595,0.18,8706,443,23.3,105,10,8,5,20,5,SE21 8EW
Lambeth 028D,Thurlow Park,424375,40660,22,123,3,8.6,38,41,2473,0.23,10687,450,15.2,108,6,5,5,16,5,SE27 0AA
Lambeth 028E,Thurlow Park,790000,47080,20,57,3,13,41,45,1795,0.2,9020,602,2.1,100,9,8,6,19,6,SE27 9LA
Lambeth 025C,Thurlow Park,420000,35160,4,57,3,11.3,37,44,1598,0.21,7701,394,134.2,99,6,9,6,12,9,SE21 8JZ
Lambeth 025D,Thurlow Park,531500,40500,41,61,3,10,33,38,2521,0.19,13261,529,27,104,6,6,6,13,6,SE24 9EJ
Lambeth 025E,Thurlow Park,800000,45780,21,74,3,18.3,35,42,1923,0.32,5976,443,63.8,104,7,10,8,13,10,SE21 8LJ
Lambeth 020B,Tulse Hill,545000,39600,27,66,2,7.7,33,45,1755,0.1,16826,505,10.4,103,6,13,6,19,8,SW2 2JT
Lambeth 024B,Tulse Hill,450000,33280,11,63,3,10.8,34,43,2040,0.12,16735,387,21,102,6,11,10,20,5,SW2 2NJ
Lambeth 020C,Tulse Hill,622500,41950,26,63,3,8.2,34,51,1599,0.13,12761,502,5.5,98,5,12,8,19,6,SW2 2DJ
Lambeth 024C,Tulse Hill,367500,30390,8,75,3,5.4,36,39,1987,0.15,13107,515,48.7,103,5,6,6,16,7,SW2 3DX
Lambeth 024D,Tulse Hill,390000,31950,11,47,3,7.3,36,48,1656,0.12,13652,457,10.9,100,7,10,10,19,6,SW2 3UE
Lambeth 016E,Tulse Hill,302500,32980,10,88,2,10.7,30,44,2056,0.13,16176,601,31.6,126,5,10,5,17,5,SW2 1ND
Lambeth 020D,Tulse Hill,540000,40130,13,78,2,7.7,30,39,1769,0.1,18200,480,5.5,107,7,11,5,13,6,SW2 2SP
Lambeth 020E,Tulse Hill,650000,42560,21,78,2,8.6,32,47,1653,0.11,15377,588,8,107,9,14,5,17,6,SW2 1AB
Lambeth 024E,Tulse Hill,305000,30750,6,55,2,5.7,33,44,1720,0.07,23562,407,9.1,102,5,10,10,26,8,SW2 2EN
Lambeth 005D,Vassall,395000,38050,9,61,2,8.8,23,32,1596,0.14,11351,417,30,111,5,5,5,11,5,SW9 6JB
Lambeth 007A,Vassall,490000,34940,11,79,2,8.7,21,30,1507,0.08,18536,466,9.3,121,5,8,5,12,5,SW9 6LL
Lambeth 009D,Vassall,491250,34370,17,75,2,7.8,24,37,1951,0.18,10809,473,36.6,103,5,8,5,14,7,SE5 9HP
Lambeth 005E,Vassall,400000,35320,6,116,2,8.9,22,34,1582,0.15,10422,486,15.6,120,7,9,5,13,5,SW9 6NE
Lambeth 007B,Vassall,350000,30230,11,61,2,5,22,34,1397,0.06,25081,545,16.2,111,5,10,6,13,5,SW9 6HJ
Lambeth 007C,Vassall,507500,37510,20,79,2,9.4,22,37,1740,0.09,19773,455,14.7,111,5,10,7,13,5,SW9 6LR
Lambeth 007D,Vassall,420000,39270,38,157,2,7.9,23,35,2537,0.21,12162,514,33.3,113,6,10,9,14,6,SW9 0PP
Lambeth 007E,Vassall,460000,32820,60,91,2,6.6,26,37,1115,0.14,7863,563,47.1,107,5,11,5,18,6,SE5 9RH
Lambeth 009E,Vassall,610000,30270,9,86,2,6.3,24,39,1396,0.08,17235,544,7.8,111,7,10,5,17,5,SW9 6NY
Lewisham 034A,Bellingham,369000,31310,6,68,3,11.4,49,74,1673,0.19,8759,446,22.6,92,5,11,12,17,6,SE6 3AR
Lewisham 034B,Bellingham,282500,31930,6,105,4,7.5,54,63,1966,0.33,6031,436,109,101,6,11,11,20,7,SE26 5AH
Lewisham 034C,Bellingham,282000,31940,22,63,4,9.3,52,74,1552,0.2,7850,481,38.7,94,7,10,11,21,5,SE6 3NW
Lewisham 034D,Bellingham,269000,30350,16,99,4,9.8,52,71,1650,1.02,1624,389,786,89,5,7,11,16,6,SE6 3QB
Lewisham 029A,Bellingham,410000,34200,16,104,4,16.2,50,58,1703,0.35,4888,491,120.2,98,5,12,7,32,7,SE26 4AZ
Lewisham 029B,Bellingham,371250,33150,16,64,3,14.1,45,64,1846,0.33,5597,473,170.8,97,9,18,10,23,9,SE6 4NA
Lewisham 029C,Bellingham,503750,36190,26,49,4,13.2,47,61,1591,0.2,8117,474,26.6,95,10,19,10,36,5,SE6 4LP
Lewisham 029D,Bellingham,355000,31810,15,73,3,11.4,48,67,1762,0.27,6594,398,78.9,91,5,14,7,26,5,SE6 3TA
Lewisham 029E,Bellingham,353500,31600,12,70,3,10,49,71,1710,0.21,8051,423,47.5,90,7,14,8,31,7,SE6 3HP
Lewisham 009A,Blackheath,640000,46390,19,43,3,14.9,37,40,1573,0.17,9291,475,15,100,5,10,7,20,7,SE13 5BY
Lewisham 007A,Blackheath,426000,47040,29,193,3,12,39,45,1898,0.32,5993,447,65.8,102,10,6,6,15,7,SE3 0ZA
Lewisham 009B,Blackheath,852500,48880,12,139,3,12.5,36,40,1611,0.74,2182,566,545.2,106,6,10,10,17,5,SE3 0RU
Lewisham 007B,Blackheath,730000,40550,13,77,3,8.7,34,34,1617,0.16,10326,471,16.5,107,9,10,6,13,5,SE13 5JQ
Lewisham 009C,Blackheath,608000,48930,26,45,3,19.8,38,41,1656,0.23,7175,586,12.3,105,7,11,6,16,8,SE3 9DA
Lewisham 009D,Blackheath,345000,39990,23,124,3,11.4,36,41,1964,0.15,13252,475,20.2,99,6,7,6,18,5,SE13 5PF
Lewisham 007C,Blackheath,420000,43600,15,63,3,8.3,34,40,1429,0.26,5560,455,89.8,105,10,10,6,17,8,SE10 8AP
Lewisham 007D,Blackheath,427200,36080,29,59,3,9.1,33,40,1439,0.09,15989,374,23.9,110,10,10,5,14,5,SE13 7NU
Lewisham 007E,Blackheath,460000,45480,18,48,3,12,36,39,1669,0.21,8122,534,25.5,96,12,9,8,18,7,SE13 7DY
Lewisham 005A,Brockley,445000,33420,19,149,2,8.3,29,39,1619,0.12,13391,409,18.6,115,5,6,5,12,6,SE14 6TT
Lewisham 005B,Brockley,401250,35140,12,63,2,8.1,31,43,2082,0.13,16433,406,24.4,117,6,8,9,13,5,SE4 1BD
Lewisham 005C,Brockley,430000,39130,31,136,2,6.6,33,42,1873,0.19,9936,461,28,108,5,10,8,13,5,SE4 1PD
Lewisham 008B,Brockley,427500,41090,22,110,2,6.9,32,36,1643,0.2,8162,593,38,106,8,11,8,10,7,SE4 1XL
Lewisham 005D,Brockley,545000,38200,28,69,2,13.2,32,40,2220,0.23,9862,425,52.3,114,6,10,10,15,5,SE14 6RL
Lewisham 008C,Brockley,517000,41650,23,71,2,7.3,35,41,2123,0.21,9907,403,18.1,102,10,12,8,11,6,SE4 1LL
Lewisham 008D,Brockley,472500,36810,14,116,2,7.4,34,37,1840,0.16,11750,457,8.7,110,10,12,10,12,5,SE4 1XQ
Lewisham 005E,Brockley,410000,36500,13,198,2,5.8,28,35,1999,0.21,9403,400,19.4,123,5,5,7,12,5,SE14 6AG
Lewisham 025A,Catford South,499995,38850,15,56,3,12.6,46,62,1892,0.21,8941,427,3.7,92,7,14,9,17,6,SE6 2JG
Lewisham 022A,Catford South,465000,39640,20,31,3,13.6,46,61,1700,0.16,10579,444,0,92,9,10,5,20,7,SE6 1BX
Lewisham 022B,Catford South,555000,40810,10,41,3,11.4,50,61,1579,0.14,11104,472,0.5,90,5,13,6,24,5,SE6 1ZD
Lewisham 025B,Catford South,490000,39730,13,36,3,15.8,49,66,1756,0.21,8382,460,20.2,88,6,12,10,23,6,SE6 1HA
Lewisham 022C,Catford South,305000,39260,11,57,3,14,44,52,1678,0.18,9343,499,1,99,5,11,8,17,5,SE6 1HN
Lewisham 025C,Catford South,375000,37620,19,79,3,16,46,63,2105,0.33,6308,484,28.5,97,8,11,10,12,5,SE6 2LJ
Lewisham 022D,Catford South,475000,37970,19,29,3,11.2,48,59,1673,0.18,9147,432,8.8,92,6,12,8,22,5,SE6 1TH
Lewisham 025D,Catford South,615000,40340,9,60,3,16.7,46,67,1751,0.3,5928,477,3.3,92,10,11,10,16,6,SE6 2PQ
Lewisham 022E,Catford South,480000,39310,23,39,3,12.6,43,52,1745,0.15,11473,491,0.8,96,7,11,5,16,6,SE6 1DD
Lewisham 015A,Crofton Park,581250,44540,20,41,3,11.5,42,52,1664,0.21,7816,443,40.6,94,9,5,8,12,7,SE4 1AQ
Lewisham 019A,Crofton Park,500000,42260,25,66,3,9.9,45,41,1770,0.18,9779,471,23.2,113,6,10,10,13,5,SE23 1JT
Lewisham 019B,Crofton Park,540000,43610,21,40,3,11.2,45,46,1666,0.25,6753,446,96.6,96,5,9,8,17,5,SE23 1LS
Lewisham 019C,Crofton Park,570000,45040,33,47,3,9.8,45,42,1524,0.14,10717,472,43.8,96,7,10,9,18,5,SE23 1BF
Lewisham 019D,Crofton Park,447500,36440,22,107,3,12.4,47,47,1620,0.21,7584,433,11.6,102,5,10,6,21,7,SE23 1BQ
Lewisham 019E,Crofton Park,400000,39450,30,72,3,9.6,46,51,1956,0.21,9279,440,33,96,5,10,6,20,8,SE23 1DF
Lewisham 015B,Crofton Park,425000,41130,16,82,3,8.7,40,45,1644,0.17,9508,412,33.8,109,5,12,8,10,5,SE4 2AF
Lewisham 015C,Crofton Park,602500,44050,17,50,3,11.4,43,44,1818,0.2,8938,477,52.1,105,6,11,5,12,5,SE23 1PA
Lewisham 015D,Crofton Park,550000,43550,21,53,3,10.2,42,50,1762,0.14,12759,404,4.7,106,9,8,6,11,6,SE4 1AT
Lewisham 038A,Downham,380000,34640,7,90,4,12,53,77,1367,0.49,2798,459,354.3,88,10,10,10,34,8,BR1 4JG
Lewisham 037A,Downham,335000,32660,11,74,4,11.4,50,59,1641,0.18,9276,459,10.9,96,7,6,6,29,6,BR1 5EQ
Lewisham 037B,Downham,352500,31540,18,127,4,12,52,63,1541,0.26,5943,363,91.9,94,6,6,6,41,6,BR1 5HG
Lewisham 037C,Downham,323000,32380,13,56,4,8.5,54,63,1425,0.13,10987,396,4.6,92,5,6,5,43,6,BR1 5JS
Lewisham 037D,Downham,327750,32180,12,78,4,9.9,55,74,1481,0.22,6741,395,59.1,89,5,7,5,43,9,BR1 5ES
Lewisham 038B,Downham,330000,31840,19,89,4,13.9,54,78,2000,0.21,9565,398,47.2,91,10,8,8,38,5,BR1 4NE
Lewisham 038C,Downham,427000,32720,12,95,4,21,50,69,1635,0.28,5745,445,72.1,96,10,10,10,25,8,BR1 4LH
Lewisham 038D,Downham,301500,31290,12,159,4,13.2,51,76,1428,0.24,5845,452,25.3,92,10,10,10,32,5,BR1 4LP
Lewisham 001A,Evelyn,270000,30440,2,46,2,4.9,25,39,1603,0.07,23925,408,11.1,98,5,16,5,23,5,SE8 3QY
Lewisham 001B,Evelyn,138000,31650,8,65,2,4.7,21,31,1902,0.11,17275,387,14.5,102,6,10,10,21,6,SE16 2PJ
Lewisham 002A,Evelyn,316000,30650,10,108,2,6.7,24,42,1643,0.24,6809,383,38.6,101,7,10,7,25,6,SE8 5BS
Lewisham 001C,Evelyn,406000,36760,10,71,2,6.2,22,35,2024,0.2,10233,465,58,109,5,10,10,21,6,SE8 5AB
Lewisham 002B,Evelyn,317500,30430,8,89,2,5.6,23,37,1653,0.26,6482,415,101.9,101,9,13,5,20,5,SE8 5DB
Lewisham 001D,Evelyn,400000,34510,9,43,2,8.4,25,41,2107,0.11,18897,491,27.1,95,7,18,5,25,5,SE8 3DF
Lewisham 001E,Evelyn,545000,34520,246,65,2,7.4,24,43,1845,0.19,9716,354,47.7,102,7,13,6,22,5,SE16 7EG
Lewisham 002C,Evelyn,280000,28700,3,64,2,7.7,24,38,2184,0.23,9516,371,36.1,100,5,11,5,18,5,SE8 3LA
Lewisham 002D,Evelyn,320000,27030,5,64,2,6.4,26,40,1502,0.07,20978,456,19,102,5,11,5,22,5,SE8 5HQ
Lewisham 002E,Evelyn,512000,30110,11,142,2,9.3,26,36,1469,0.15,9906,338,26.6,116,5,9,6,19,5,SE8 5HF
Lewisham 021A,Forest Hill,785000,46830,21,60,3,13,45,49,1487,0.32,4609,452,70.2,98,6,11,10,20,6,SE23 1HS
Lewisham 021B,Forest Hill,350000,42990,31,153,3,7.2,44,42,2131,0.18,11787,449,11.1,107,9,10,10,18,5,SE23 2LE
Lewisham 028A,Forest Hill,365000,36460,15,99,3,13.2,47,52,2302,0.22,10346,363,14.7,97,5,8,11,25,9,SE26 4EA
Lewisham 028B,Forest Hill,562500,38490,24,64,3,19.7,43,50,1787,0.22,8201,424,59.4,101,5,9,11,24,10,SE23 3UN
Lewisham 028C,Forest Hill,340000,34540,8,61,3,6.8,49,54,1579,0.12,13136,456,25,96,8,8,10,34,8,SE26 6JJ
Lewisham 028D,Forest Hill,495000,40910,26,107,3,10.5,47,51,1768,0.21,8545,548,27.6,98,5,5,9,27,6,SE26 4BB
Lewisham 021C,Forest Hill,535000,43730,17,49,3,11.9,41,50,1824,0.22,8480,405,22.3,100,5,10,8,19,5,SE23 3DY
Lewisham 021D,Forest Hill,522750,43940,16,54,3,10.2,42,42,1445,0.18,7997,480,7.1,102,8,10,10,17,8,SE23 3NL
Lewisham 021E,Forest Hill,425000,42580,19,52,3,7.2,44,48,1456,0.16,9043,258,30.5,95,7,12,10,21,9,SE23 3LN
Lewisham 023A,Grove Park,300000,36250,21,100,4,15.1,47,56,1683,0.35,4770,481,89.8,92,7,10,5,21,5,SE12 0BW
Lewisham 031A,Grove Park,320000,35690,13,70,4,14.9,49,65,1393,0.23,6131,372,21.5,92,7,13,5,23,5,SE12 9QA
Lewisham 031B,Grove Park,277500,33580,22,74,4,7.7,50,62,1513,0.23,6558,426,91.9,93,8,14,6,23,6,SE12 9QJ
Lewisham 031C,Grove Park,320000,31960,15,38,4,16.2,52,64,1730,0.17,10117,507,22.4,91,5,15,10,24,6,SE9 4NX
Lewisham 031D,Grove Park,329000,33060,12,40,4,13.9,54,67,1538,0.33,4658,569,121.2,86,5,14,10,28,5,SE12 9QU
Lewisham 023B,Grove Park,366000,38860,27,69,3,11.7,43,55,1737,0.29,5920,506,99.3,97,5,10,10,22,5,SE12 0HG
Lewisham 023C,Grove Park,446000,38240,14,50,3,13.7,44,57,1591,0.21,7526,548,9.6,102,6,11,10,27,8,SE12 0AQ
Lewisham 023D,Grove Park,367000,40220,17,52,3,12.2,45,63,1775,0.28,6299,525,42.6,92,8,10,6,24,7,SE12 0UB
Lewisham 023E,Grove Park,478000,41750,26,64,4,19.4,47,66,1737,0.29,5908,523,64.8,90,11,12,7,26,6,SE12 0UG
Lewisham 014A,Ladywell,432051,40350,16,75,2,11.8,35,40,2076,0.15,13970,468,6.4,108,10,10,10,15,7,SE16 1UX
Lewisham 011A,Ladywell,622500,37730,13,44,3,9.6,34,39,2048,0.19,11064,445,47.9,96,10,11,10,11,6,SE13 7JL
Lewisham 014B,Ladywell,476900,41320,20,68,3,8.9,37,42,1730,0.15,11809,436,13.7,104,10,6,6,16,9,SE13 7AH
Lewisham 014C,Ladywell,369000,37060,13,60,3,15.5,41,49,1687,0.19,8678,421,44.7,95,11,8,10,16,10,SE4 1HT
