Name,WD17NM_x,HPrice,medIncome,Tquantity,CrimRate,FareZone,Perof65years,drivingTime,PTransportTime,TPopulation,AreaKm2,PeoplePerkm2,Av GCSE 2013,GrnSpacem2T,Cemissions,TTprimaryS,TTsecodS,TTGP,TTHosp,TTfoodSt,pcds
Barnet 024B,Burnt Oak,355000,29660,11,36,4,8.1,65,44,1554,0.2,7747,450,64.2,90,5,13,5,32,6,HA8 0EQ
Barnet 024C,Burnt Oak,349500,31120,10,46,4,13.4,64,47,1952,0.25,7909,453,54.6,89,5,11,5,28,6,HA8 0EW
Barnet 024D,Burnt Oak,295000,28390,6,148,4,16.6,62,43,1906,0.17,11094,361,18.5,103,5,10,6,24,5,HA8 0AX
Barnet 021A,Burnt Oak,380000,31670,13,47,4,8.6,65,48,1748,0.17,10210,458,36.4,89,6,11,9,34,8,HA8 0DZ
Barnet 024E,Burnt Oak,472500,32520,10,41,4,15.3,61,46,1864,0.34,5546,446,141.7,89,8,10,8,27,8,NW9 5JX
Barnet 021B,Burnt Oak,382500,31520,8,48,4,8.6,64,50,1555,0.15,10130,462,42.8,89,5,12,10,31,8,HA8 0ND
Barnet 021C,Burnt Oak,400000,30350,9,40,4,10.2,64,53,1624,0.16,10437,415,6.3,90,5,10,10,28,10,HA8 0QB
Barnet 024F,Burnt Oak,400000,30540,13,47,4,9.9,66,46,1696,0.16,10640,484,26.4,93,5,11,7,32,6,HA8 0QX
Barnet 038A,Childs Hill,775000,45170,24,76,3,22.3,43,43,1699,0.33,5138,411,51.4,105,6,10,5,22,7,NW11 8AD
Barnet 038B,Childs Hill,3400000,61210,9,40,3,22.6,43,43,1576,0.52,3028,403,143.1,98,9,11,9,17,7,NW11 8AN
Barnet 041A,Childs Hill,637500,33260,12,52,3,16.7,44,47,1755,0.12,14292,495,14.2,103,6,10,9,24,9,NW2 2AZ
Barnet 040A,Childs Hill,675000,37500,13,69,3,14,43,48,1542,0.26,5897,528,42,113,5,10,8,23,8,NW2 2WR
Barnet 041B,Childs Hill,615750,40390,6,68,3,13.4,41,47,1495,0.35,4259,529,78.1,107,6,10,7,22,7,NW2 2PJ
Barnet 041C,Childs Hill,635000,37170,15,58,3,11.8,42,48,1683,0.15,11520,453,11.4,114,6,10,10,21,8,NW2 2HD
Barnet 039A,Childs Hill,529950,32680,11,168,3,8.1,45,47,2152,0.37,5808,463,42.5,110,9,10,6,20,6,NW2 1BT
Barnet 040B,Childs Hill,318250,35380,22,28,3,16.7,45,48,2449,0.2,12282,446,23.1,100,5,10,9,28,8,NW11 8SX
Barnet 041D,Childs Hill,441000,33860,6,94,3,9.7,42,47,1535,0.17,8797,490,36.8,103,10,10,6,20,6,NW2 2RF
Barnet 038C,Childs Hill,1025000,44790,10,101,3,11.6,42,39,1694,0.2,8551,582,6.7,104,10,10,9,23,5,NW11 8EA
